Filename,eTime_0,eTime_1,eTime_2,eTime_3,eTime_4,eTime_5,eTime_6,eTime_7,eTime_8,eTime_9,Med,Ave,Std
1.cpp,0.002999067,0.001980782,0.002998352,0.003000021,0.003000736,0.002999067,0.003000021,0.003030777,0.003032207,0.004001617,0.003000021,0.003003879,0.000476544
10.cpp,0.003997803,0.00299859,0.003077745,0.001999617,0.002967119,0.003000498,0.00325942,0.002968311,0.003998995,0.003053188,0.003026843,0.003122557,0.000567455
100.cpp,0.003000021,0.003000498,0.003064394,0.003000021,0.002989054,0.003039122,0.003020525,0.003008127,0.00300169,0.002078295,0.003001094,0.002927531,0.000296668
101.cpp,0.004050255,0.003000498,0.002998114,0.002998829,0.003001213,0.003137589,0.003001451,0.003133297,0.003001451,0.002005577,0.003001332,0.003029964,0.000485094
102.cpp,0.004034758,0.003001213,0.002999306,0.00406909,0.002954483,0.002997875,0.003032207,0.002000809,0.002999544,0.002999067,0.002999425,0.003098889,0.000586584
103.cpp,0.007000208,0.006090879,0.00307107,0.002999306,0.003000736,0.003001213,0.007000446,0.005998135,0.00603199,0.005999088,0.005998611,0.005108335,0.001762704
104.cpp,0.003000021,0.002995491,0.002996922,0.003045321,0.003042936,0.003114939,0.003001213,0.003000259,0.00304389,0.00198555,0.003000736,0.002929753,0.000331386
105.cpp,0.004001141,0.002001047,0.002998829,0.003001213,0.003006697,0.003077507,0.002999783,0.003000021,0.003078222,0.003000021,0.003000617,0.003015009,0.000472541
106.cpp,0.003000975,0.003086329,0.002999306,0.003015041,0.003000021,0.002046585,0.003001213,0.002999306,0.002969503,0.004000425,0.003000498,0.003010837,0.000461526
107.cpp,0.003999233,0.002998114,0.003002405,0.002998352,0.002002001,0.001999378,0.002997398,0.002999306,0.002999544,0.003001213,0.002998829,0.002908707,0.000567169
108.cpp,0.004060507,0.002993822,0.003078938,0.003000498,0.002999067,0.002999783,0.002144814,0.002999783,0.002000093,0.003084898,0.002999783,0.002941999,0.000560618
109.cpp,0.004000664,0.002998352,0.002999306,0.002001286,0.003091812,0.002995014,0.001998901,0.003053188,0.002979755,0.004000187,0.002998829,0.003010663,0.000667635
11.cpp,0.005093813,0.002999306,0.003000975,0.002998829,0.002999783,0.00294733,0.004100323,0.004011393,0.00399971,0.004104614,0.003500342,0.00361422,0.000739835
110.cpp,0.003050089,0.003040791,0.002999067,0.00299716,0.003038645,0.003209829,0.003079653,0.002999783,0.003091574,0.00305438,0.00304544,0.003055128,6.31773E-05
111.cpp,0.005000353,0.003001213,0.003204107,0.002999067,0.003091812,0.003068209,0.00202632,0.002998829,0.002996445,0.004000664,0.003034711,0.003220157,0.000777158
112.cpp,0.003000021,0.003000259,0.002001524,0.003093004,0.003995895,0.002000093,0.003068209,0.002996683,0.003000259,0.003002167,0.003000259,0.002923489,0.000570674
113.cpp,0.003000021,0.003000259,0.003061295,0.003082991,0.00299859,0.004002333,0.003042459,0.003042221,0.00415659,0.003086329,0.003051877,0.003229542,0.000441266
114.cpp,0.00399971,0.002001047,0.003000259,0.001959324,0.003089428,0.003080845,0.003000021,0.002999306,0.003019571,0.003000021,0.00300014,0.002922698,0.000579552
115.cpp,0.004005432,0.004000902,0.004083633,0.003000021,0.003283978,0.003000021,0.003021955,0.002967358,0.00301671,0.005000114,0.003152966,0.003503008,0.000697242
